WKT,Enplanements,Passengers,Magnetic_Variation,County_s_State_Post_Office_Code,Official_Facility_Name,Elevation_Nearest_Tenth_Of_A_Foot_Msl,Has_Been_Designated_As_A_Customs_Landing_Rights_Airport,Location_Identifier,Departing_Flights,County_Or_Parish_Name,Magnetic_Direction,Arriving_Flights,Has_Been_Designated_As_An_International_Airport,Icao_Identifier,City_Name,Associated_Aeronautical_Chart,Airport_Activation_Date_Mm_Yyyy,State_Name,SHAPE_X,SHAPE_Y
"POINT (-77.0498055558683 35.5704722221732)",,,8,NC,Warren Field,37,N,OCW,,Beaufort,W,,N,KOCW,Washington,Charlotte,07/1942,North Carolina,-77.0498055558683,35.5704722221732
"POINT (-80.7479833337788 34.8638166669162)",,,7,NC,Jaars-Townsend,602,,N52,,Union,W,,,,Waxhaw,Charlotte,02/1962,North Carolina,-80.7479833337788,34.8638166669162
"POINT (-78.7150000000671 34.2728611112251)",,,7,NC,Columbus County Muni,99,N,CPC,,Columbus,W,,N,KCPC,Whiteville,Charlotte,,North Carolina,-78.7150000000671,34.2728611112251
"POINT (-77.178202778117 35.8621930558065)",,,9,NC,Martin County,74.8,,MCZ,,Martin,W,,,KMCZ,Williamston,Charlotte,,North Carolina,-77.178202778117,35.8621930558065
"POINT (-77.9697913891685 35.7704069442157)",,,8,NC,Wilson Industrial Air Center,159.6,N,W03,,Wilson,W,,N,,Wilson,Charlotte,05/1943,North Carolina,-77.9697913891685,35.7704069442157
"POINT (-80.2219877225634 36.1337138057627)",,,7,NC,Smith Reynolds,969.4,Y,INT,,Forsyth,W,,N,KINT,Winston Salem,Cincinnati,01/1938,North Carolina,-80.2219877225634,36.1337138057627
"POINT (-77.3557743054312 35.4821847222468)",,,,NC,South Oaks Aerodrome,50,,05N,,Pitt,,,,,Winterville,Charlotte,07/2005,North Carolina,-77.3557743054312,35.4821847222468
"POINT (-80.6901000003744 36.0605144441877)",,,6,NC,Lone Hickory,1015,,80C,,Yadkin,W,,,,Yadkinville,Cincinnati,12/1997,North Carolina,-80.6901000003744,36.0605144441877
"POINT (-79.3926944447902 36.3997777774672)",,,7,NC,Caswell,648,,6W4,,Caswell,W,,,,Yanceyville,Cincinnati,08/1945,North Carolina,-79.3926944447902,36.3997777774672
"POINT (-97.2073094440875 47.1110877778448)",,,6,ND,Arthur,973,,1A2,,Cass,E,,,,Arthur,Twin Cities,,North Dakota,-97.2073094440875,47.1110877778448
"POINT (-99.3515894996196 46.0245908612873)",,,8,ND,Ashley Muni,2032,N,ASY,,Mc Intosh,E,,N,KASY,Ashley,Twin Cities,01/1942,North Dakota,-99.3515894996196,46.0245908612873
"POINT (-103.982055555714 46.9251666665992)",,,12,ND,Beach,2756,N,20U,,Golden Valley,E,,N,,Beach,Billings,08/1974,North Dakota,-103.982055555714,46.9251666665992
"POINT (-101.814057500026 47.2508408335352)",,,11,ND,Beulah,1791,N,95D,,Mercer,E,,N,,Beulah,Billings,10/1947,North Dakota,-101.814057500026,47.2508408335352
"POINT (-100.417305555762 48.8305277780491)",,,8,ND,Bottineau Muni,1681,N,D09,,Bottineau,E,,N,,Bottineau,Twin Cities,10/1959,North Dakota,-100.417305555762,48.8305277780491
"POINT (-102.245444999716 48.8097494443461)",,,11,ND,Bowbells Muni,1955,,5B4,,Burke,E,,,,Bowbells,Billings,04/1969,North Dakota,-102.245444999716,48.8097494443461
"POINT (-103.428080555824 46.1869911109704)",,,10,ND,Bowman Muni,2958,N,BPP,,Bowman,E,,N,KBPP,Bowman,Billings,09/1944,North Dakota,-103.428080555824,46.1869911109704
"POINT (-99.236388889119 48.4800277779515)",,,6,ND,Cando Muni,1482,N,9D7,,Towner,E,,N,,Cando,Twin Cities,01/1946,North Dakota,-99.236388889119,48.4800277779515
"POINT (-99.1513333329668 47.4511111110175)",,,7,ND,Carrington Muni,1607,N,46D,,Foster,E,,N,,Carrington,Twin Cities,07/1945,North Dakota,-99.1513333329668,47.4511111110175
"POINT (-97.2078611111816 46.8539444447076)",,,6,ND,Casselton Robert Miller Rgnl,933,,5N8,,Cass,E,,,,Casselton,Twin Cities,04/1986,North Dakota,-97.2078611111816,46.8539444447076
"POINT (-97.6319722220353 48.7837222219871)",,,6,ND,Cavalier Muni,892,N,2C8,,Pembina,E,,N,,Cavalier,Twin Cities,10/1948,North Dakota,-97.6319722220353,48.7837222219871
"POINT (-102.792120555509 48.8986433331958)",,,12,ND,Columbus Muni,1930,N,D49,,Burke,E,,N,,Columbus,Billings,07/1949,North Dakota,-102.792120555509,48.8986433331958
"POINT (-98.1058713885161 47.4227736108447)",,,6,ND,Cooperstown Muni,1424,,S32,,Griggs,E,,,,Cooperstown,Twin Cities,11/1947,North Dakota,-98.1058713885161,47.4227736108447
"POINT (-103.297580916484 48.9282992776044)",,,11,ND,Crosby Muni,1950,N,D50,,Divide,E,,N,,Crosby,Billings,11/1937,North Dakota,-103.297580916484,48.9282992776044
"POINT (-97.177027777544 48.6185347222437)",,,7,ND,Drayton Muni,798,,D29,,Walsh,E,,,,Drayton,Twin Cities,04/1991,North Dakota,-97.177027777544,48.6185347222437
"POINT (-100.043458888809 48.9977819446443)",,,9,ND,Intl Peace Garden,2314,Y,S28,,Rolette,E,,N,,Dunseith,Twin Cities,06/1965,North Dakota,-100.043458888809,48.9977819446443
"POINT (-98.7350000002347 46.3496944447005)",,,8,ND,Edgeley Muni,1603.5,N,51D,,La Moure,E,,N,,Edgeley,Twin Cities,01/1961,North Dakota,-98.7350000002347,46.3496944447005
"POINT (-101.845145000295 46.38278444447)",,,10,ND,Elgin Muni,2355,,Y71,,Grant,E,,,,Elgin,Billings,08/1979,North Dakota,-101.845145000295,46.38278444447
"POINT (-98.5156944444329 46.0163333332415)",,,7,ND,Ellendale Muni,1457,N,4E7,,Dickey,E,,N,,Ellendale,Twin Cities,11/1947,North Dakota,-98.5156944444329,46.0163333332415
"POINT (-97.6203758332017 46.6271947222418)",,,7,ND,Sky Haven,1147,N,5N4,,Ransom,E,,N,,Enderlin,Twin Cities,07/1947,North Dakota,-97.6203758332017,46.6271947222418
"POINT (-96.9186952780412 46.9008008333627)",,,6,ND,West Fargo Muni,896,,D54,,Cass,E,,,,Fargo,Twin Cities,12/1979,North Dakota,-96.9186952780412,46.9008008333627
"POINT (-99.6609555554162 47.6597238890225)",,,9,ND,Fessenden-Streibel Muni,1619,,D24,,Wells,E,,,,Fessenden,Twin Cities,01/1987,North Dakota,-99.6609555554162,47.6597238890225
"POINT (-100.63275277735 46.0669222224479)",,,9,ND,Standing Rock,1633,N,Y27,,Sioux,E,,N,,Fort Yates,Twin Cities,08/1978,North Dakota,-100.63275277735,46.0669222224479
"POINT (-99.1670541666459 46.6166441665203)",,,8,ND,Gackle Muni,1904,N,9G9,,Logan,E,,N,,Gackle,Twin Cities,10/1963,North Dakota,-99.1670541666459,46.6166441665203
